model,regime_id,split,n_samples,rmse,mae,r2,complexity,equation
regime_specific,2,train,2505,2.357217980653566e-05,1.195140257839078e-05,0.9999846426607247,7,dTdt_K_min = 0.000658289 + 4.3871e-05*z(Q_reaction_kW) + 0.00594718*z(Q_jacket_kW) + 8.01603e-05*z(Q_loss_kW) - 3.02102e-05*z(conversion_proxy) + 7.54431e-05*z(Q_total_kW) + 9.42295e-06*z(Q_total_times_U) - 6.41153e-07*z(feed_rate_kg_s^2)
regime_specific,2,val,290,2.1557893311467892e-05,1.1249345482365117e-05,0.999963315181251,7,dTdt_K_min = 0.000658289 + 4.3871e-05*z(Q_reaction_kW) + 0.00594718*z(Q_jacket_kW) + 8.01603e-05*z(Q_loss_kW) - 3.02102e-05*z(conversion_proxy) + 7.54431e-05*z(Q_total_kW) + 9.42295e-06*z(Q_total_times_U) - 6.41153e-07*z(feed_rate_kg_s^2)
regime_specific,2,test,776,3.4332903727896e-05,1.7810278929842606e-05,0.9999802554873478,7,dTdt_K_min = 0.000658289 + 4.3871e-05*z(Q_reaction_kW) + 0.00594718*z(Q_jacket_kW) + 8.01603e-05*z(Q_loss_kW) - 3.02102e-05*z(conversion_proxy) + 7.54431e-05*z(Q_total_kW) + 9.42295e-06*z(Q_total_times_U) - 6.41153e-07*z(feed_rate_kg_s^2)
regime_specific,2,ood,120,9.89109686866139e-06,6.479281739674484e-06,0.999993646851907,7,dTdt_K_min = 0.000658289 + 4.3871e-05*z(Q_reaction_kW) + 0.00594718*z(Q_jacket_kW) + 8.01603e-05*z(Q_loss_kW) - 3.02102e-05*z(conversion_proxy) + 7.54431e-05*z(Q_total_kW) + 9.42295e-06*z(Q_total_times_U) - 6.41153e-07*z(feed_rate_kg_s^2)
regime_specific,3,train,3422,6.516610571096203e-05,2.2406205524207545e-05,0.9999993557478793,8,dTdt_K_min = 0.0278193 + 0.0811584*z(Q_jacket_kW) + 0.000100268*z(Q_loss_kW) - 0.000435665*z(conversion_proxy) + 5.95308e-06*z(Q_total_kW) + 4.63599e-06*z(heating_load_kW) + 8.49495e-06*z(reaction_times_feed) + 6.77528e-06*z(Q_reaction_kW^2) - 5.15624e-05*z(feed_rate_kg_s^2)
regime_specific,3,val,1126,3.640352834923672e-05,1.3693818123531344e-05,0.9999996209135682,8,dTdt_K_min = 0.0278193 + 0.0811584*z(Q_jacket_kW) + 0.000100268*z(Q_loss_kW) - 0.000435665*z(conversion_proxy) + 5.95308e-06*z(Q_total_kW) + 4.63599e-06*z(heating_load_kW) + 8.49495e-06*z(reaction_times_feed) + 6.77528e-06*z(Q_reaction_kW^2) - 5.15624e-05*z(feed_rate_kg_s^2)
regime_specific,3,test,504,5.4154111813425865e-05,1.902275572670792e-05,0.9999994582402483,8,dTdt_K_min = 0.0278193 + 0.0811584*z(Q_jacket_kW) + 0.000100268*z(Q_loss_kW) - 0.000435665*z(conversion_proxy) + 5.95308e-06*z(Q_total_kW) + 4.63599e-06*z(heating_load_kW) + 8.49495e-06*z(reaction_times_feed) + 6.77528e-06*z(Q_reaction_kW^2) - 5.15624e-05*z(feed_rate_kg_s^2)
regime_specific,3,ood,423,6.064187501635219e-05,1.4227935708760337e-05,0.99999834169777,8,dTdt_K_min = 0.0278193 + 0.0811584*z(Q_jacket_kW) + 0.000100268*z(Q_loss_kW) - 0.000435665*z(conversion_proxy) + 5.95308e-06*z(Q_total_kW) + 4.63599e-06*z(heating_load_kW) + 8.49495e-06*z(reaction_times_feed) + 6.77528e-06*z(Q_reaction_kW^2) - 5.15624e-05*z(feed_rate_kg_s^2)
regime_specific,4,train,2424,3.950385787874353e-05,1.7287163039078914e-05,0.9999994205238035,7,dTdt_K_min = 0.0138072 + 3.82292e-05*z(Q_reaction_kW) + 0.051183*z(Q_jacket_kW) + 3.33031e-05*z(Q_feed_kW) + 0.00750593*z(Q_loss_kW) - 0.000223648*z(conversion_proxy) + 0.00275476*z(Q_total_kW) + 7.08643e-05*z(Q_reaction_kW^2)
regime_specific,4,val,1046,4.039105476897192e-05,1.5541051666164012e-05,0.9999905556357244,7,dTdt_K_min = 0.0138072 + 3.82292e-05*z(Q_reaction_kW) + 0.051183*z(Q_jacket_kW) + 3.33031e-05*z(Q_feed_kW) + 0.00750593*z(Q_loss_kW) - 0.000223648*z(conversion_proxy) + 0.00275476*z(Q_total_kW) + 7.08643e-05*z(Q_reaction_kW^2)
regime_specific,4,test,838,4.1979004882928865e-05,1.6827637079164613e-05,0.9999990686779459,7,dTdt_K_min = 0.0138072 + 3.82292e-05*z(Q_reaction_kW) + 0.051183*z(Q_jacket_kW) + 3.33031e-05*z(Q_feed_kW) + 0.00750593*z(Q_loss_kW) - 0.000223648*z(conversion_proxy) + 0.00275476*z(Q_total_kW) + 7.08643e-05*z(Q_reaction_kW^2)
regime_specific,4,ood,1012,7.74897512749117e-05,2.0706275797180583e-05,0.9999961664183784,7,dTdt_K_min = 0.0138072 + 3.82292e-05*z(Q_reaction_kW) + 0.051183*z(Q_jacket_kW) + 3.33031e-05*z(Q_feed_kW) + 0.00750593*z(Q_loss_kW) - 0.000223648*z(conversion_proxy) + 0.00275476*z(Q_total_kW) + 7.08643e-05*z(Q_reaction_kW^2)
regime_specific,5,train,2951,0.011384189276905562,0.006772496107204919,0.9983601897897136,4,dTdt_K_min = 0.00529165 - 9.41228e-05*z(conversion_proxy) + 0.238869*z(Q_total_kW) + 0.0448324*z(Q_total_times_U) + 3.2755e-07*z(Q_total_kW^2)
regime_specific,5,val,637,0.012278655171821641,0.00828209690546576,0.997338086441331,4,dTdt_K_min = 0.00529165 - 9.41228e-05*z(conversion_proxy) + 0.238869*z(Q_total_kW) + 0.0448324*z(Q_total_times_U) + 3.2755e-07*z(Q_total_kW^2)
regime_specific,5,test,1080,0.008475052229860088,0.005183970891375352,0.9989018988755327,4,dTdt_K_min = 0.00529165 - 9.41228e-05*z(conversion_proxy) + 0.238869*z(Q_total_kW) + 0.0448324*z(Q_total_times_U) + 3.2755e-07*z(Q_total_kW^2)
regime_specific,5,ood,500,0.013187869347523282,0.009415914251961366,0.9962770505772829,4,dTdt_K_min = 0.00529165 - 9.41228e-05*z(conversion_proxy) + 0.238869*z(Q_total_kW) + 0.0448324*z(Q_total_times_U) + 3.2755e-07*z(Q_total_kW^2)
regime_specific,6,train,2987,0.02832230794667742,0.020947717757385697,0.9969237149891033,8,dTdt_K_min = 0.102212 + 0.215188*z(Q_jacket_kW) + 0.113364*z(Q_total_kW) + 0.0284241*z(inv_viscosity) - 0.0265757*z(U_over_viscosity) - 0.179286*z(jacket_times_U) + 0.373923*z(Q_total_times_U) - 0.0323614*z(Q_total_kW^2) + 0.0354589*z(Q_jacket_kW^2)
regime_specific,6,val,581,0.022592242231535737,0.016710839464422828,0.997334694151965,8,dTdt_K_min = 0.102212 + 0.215188*z(Q_jacket_kW) + 0.113364*z(Q_total_kW) + 0.0284241*z(inv_viscosity) - 0.0265757*z(U_over_viscosity) - 0.179286*z(jacket_times_U) + 0.373923*z(Q_total_times_U) - 0.0323614*z(Q_total_kW^2) + 0.0354589*z(Q_jacket_kW^2)
regime_specific,6,test,1144,0.027502990987464938,0.019728762588374246,0.9960858940779564,8,dTdt_K_min = 0.102212 + 0.215188*z(Q_jacket_kW) + 0.113364*z(Q_total_kW) + 0.0284241*z(inv_viscosity) - 0.0265757*z(U_over_viscosity) - 0.179286*z(jacket_times_U) + 0.373923*z(Q_total_times_U) - 0.0323614*z(Q_total_kW^2) + 0.0354589*z(Q_jacket_kW^2)
regime_specific,6,ood,393,0.03361269146773553,0.02172080579623215,0.9941697536294299,8,dTdt_K_min = 0.102212 + 0.215188*z(Q_jacket_kW) + 0.113364*z(Q_total_kW) + 0.0284241*z(inv_viscosity) - 0.0265757*z(U_over_viscosity) - 0.179286*z(jacket_times_U) + 0.373923*z(Q_total_times_U) - 0.0323614*z(Q_total_kW^2) + 0.0354589*z(Q_jacket_kW^2)
regime_specific,7,train,4510,0.0001616608663965238,5.0355206516320634e-05,0.9999992202504842,8,dTdt_K_min = -0.0296027 + 0.0174338*z(Q_reaction_kW) + 0.181218*z(Q_jacket_kW) + 0.00238257*z(Q_feed_kW) + 0.00805547*z(Q_loss_kW) + 8.23517e-05*z(feed_rate_kg_s) - 0.00108546*z(conversion_proxy) + 0.000876077*z(Q_total_kW) + 0.00010732*z(feed_rate_kg_s^2)
regime_specific,7,val,698,0.00022424015384285077,7.492856618870554e-05,0.9999984772225978,8,dTdt_K_min = -0.0296027 + 0.0174338*z(Q_reaction_kW) + 0.181218*z(Q_jacket_kW) + 0.00238257*z(Q_feed_kW) + 0.00805547*z(Q_loss_kW) + 8.23517e-05*z(feed_rate_kg_s) - 0.00108546*z(conversion_proxy) + 0.000876077*z(Q_total_kW) + 0.00010732*z(feed_rate_kg_s^2)
regime_specific,7,test,1062,0.00014384466042376848,4.704373846311948e-05,0.9999991882673744,8,dTdt_K_min = -0.0296027 + 0.0174338*z(Q_reaction_kW) + 0.181218*z(Q_jacket_kW) + 0.00238257*z(Q_feed_kW) + 0.00805547*z(Q_loss_kW) + 8.23517e-05*z(feed_rate_kg_s) - 0.00108546*z(conversion_proxy) + 0.000876077*z(Q_total_kW) + 0.00010732*z(feed_rate_kg_s^2)
regime_specific,7,ood,413,0.00029647336987465375,0.00010750126201362251,0.9999967105227294,8,dTdt_K_min = -0.0296027 + 0.0174338*z(Q_reaction_kW) + 0.181218*z(Q_jacket_kW) + 0.00238257*z(Q_feed_kW) + 0.00805547*z(Q_loss_kW) + 8.23517e-05*z(feed_rate_kg_s) - 0.00108546*z(conversion_proxy) + 0.000876077*z(Q_total_kW) + 0.00010732*z(feed_rate_kg_s^2)
