trajectory_id,time_s,time_min,dataset_split,recipe_stage,product,batch_number,season,disturbance_type,source_row_index,window_start_time_min,window_end_time_min,future_time_min,T_K,dTdt_K_min,feed_rate_kg_s,viscosity_proxy,U_kW_m2_K,reaction_rate_kg_s,Q_feed_kW,Q_reaction_kW,Q_jacket_kW,Q_loss_kW,conversion_proxy,solids_fraction,valve_actual_pct
0,1260.0,21.0,baseline,heatup,A,1,summer,none,63,0.0,21.0,23.666666666666668,343.1206467919598,1.4721473145808872,0.0,1.5755789808988685,0.9734995898368282,0.0,-0.0,0.0,5.534036738368236,-0.2773169071777226,0.999999999910929,0.2079959982955703,50.40615321124695
0,1420.0,23.666666666666668,baseline,heatup,A,1,summer,none,71,2.6666666666666665,23.666666666666668,26.33333333333333,346.5683995401425,1.2630851249530153,0.0,1.5755789808988685,0.9734995898368282,0.0,-0.0,0.0,4.8070891583240405,-0.2968852140180005,0.999999999910929,0.2079959982955703,50.448236011076354
0,1580.0,26.33333333333333,baseline,heatup,A,1,summer,none,79,5.333333333333333,26.33333333333333,29.0,349.32054592320355,0.6285201737597232,0.0,1.5755789808988685,0.9734995898368282,0.0,-0.0,0.0,2.5568151640650263,-0.3125054886799487,0.999999999910929,0.2079959982955703,50.18578267959792
0,1740.0,29.0,baseline,heatup,A,1,summer,none,87,8.0,29.0,31.666666666666668,350.8791724478189,0.5974098387625317,0.0,1.5755789808988685,0.9734995898368282,0.0,-0.0,0.0,2.4545731326144344,-0.3213517384869124,0.999999999910929,0.2079959982955703,50.22857889780309
0,1900.0,31.666666666666668,baseline,heatup,A,1,summer,none,95,10.666666666666666,31.666666666666668,34.333333333333336,352.4824940593786,0.600413277709539,0.0,1.5755789808988685,0.9734995898368282,0.0,-0.0,0.0,2.4743976882218925,-0.3304516628579934,0.999999999910929,0.2079959982955703,50.23054030406732
0,2060.0,34.333333333333336,baseline,heatup,A,1,summer,none,103,13.333333333333334,34.333333333333336,37.0,353.4087863354864,0.1756183030496778,0.0,1.5755789808988685,0.9734995898368282,0.0,-0.0,0.0,0.962803989507954,-0.3357089921407302,0.999999999910929,0.2079959982955703,50.075457971327815
0,2220.0,37.0,baseline,heatup,A,1,summer,none,111,16.0,37.0,39.66666666666666,353.90163584570024,0.1948460625884328,0.0,1.5755789808988685,0.9734995898368282,0.0,-0.0,0.0,1.0342594135997965,-0.3385062433203655,0.999999999910929,0.2079959982955703,50.08825655684564
0,2380.0,39.66666666666666,baseline,heatup,A,1,summer,none,119,18.666666666666668,39.66666666666666,42.333333333333336,354.4211146031113,0.1940374819962456,0.0,1.5755789808988685,0.9734995898368282,0.0,-0.0,0.0,1.0343205370923425,-0.3414546333194406,0.999999999910929,0.2079959982955703,50.08791698678053
0,2540.0,42.333333333333336,baseline,feed,A,1,summer,none,127,21.33333333333333,42.333333333333336,45.0,354.8001160682586,-0.4240374221823604,0.0019370993089905,1.5901279916032331,0.9734269340192072,0.0011234589084122,-0.1964309634784076,0.7578179720803951,-1.7344736784859212,-0.3436057205651333,0.9915671687025802,0.2085564677595573,50.07662769731839
0,2700.0,45.0,baseline,feed,A,1,summer,none,135,24.0,45.0,47.66666666666666,355.1515691347737,0.1580351803742751,0.0025709451323521,1.6903178831896306,0.9729267462969948,0.0022460223210046,-0.2622193794744567,1.5150318964105076,-0.3392296853898503,-0.345600452191161,0.984070667612413,0.212282205378638,48.93663264859863
