trajectory_id,dataset_split,product,batch_number,season,disturbance_type,impurity,fouling_resistance,n_points,final_monomer_added_kg,final_monomer_mass_kg,final_polymer_mass_kg,final_conversion_proxy,T_min_K,T_max_K,T_final_K,controlled_mean_abs_error_K,controlled_95_abs_error_K,controlled_within_0p5K_pct,controlled_within_1p0K_pct,max_reaction_heat_kW,min_jacket_heat_kW,max_jacket_heat_kW,max_reaction_rate_kg_s,min_U_kW_m2_K,max_U_kW_m2_K,max_viscosity_proxy,energy_residual_median_abs_kW,energy_residual_max_abs_kW,monomer_residual_median_abs,polymer_residual_median_abs,max_valve_step_pct,max_feed_step_kg_s,stage_sequence
0,baseline,A,1,summer,none,1.0,0.0,1801,45.00044001255032,1.2270245949584626e-12,56.22744001254937,0.9999999999821932,294.26,355.8517619440727,355.5307587326068,0.19911911183184475,0.5261436275617086,93.97374701670644,100.0,1.918223643720241,-5.745244967686344,11.12489680144562,0.0028437507689984,0.2,0.973503574199674,578.278793860618,7.771561172376096e-15,3.530509218307998e-14,2.4543626424244273e-14,2.4543626424244273e-14,1.6000000000000085,0.0004666666666666,heatup->feed->hold
1,baseline,B,2,summer,none,1.0,0.0005,1801,45.00028729954115,1.1049019889835222e-12,56.22728729954053,0.9999999999821954,294.26,355.8357283014675,355.5055648878233,0.16072341331816423,0.5079788136536649,94.6268656716418,100.0,1.9214869397891308,-5.7610660975466175,11.111481517649189,0.0028485885785707,0.2,0.9712845132502914,2319.7399075703547,1.7763568394002505e-15,3.5083047578154947e-14,2.2050936919482488e-14,2.2050936919482488e-14,1.6000000000000085,0.0004666666666666,heatup->feed->hold
2,baseline,A,3,summer,none,1.0,0.001,1801,45.00044001255032,1.2270646692971362e-12,56.22744001254948,0.9999999999821932,294.26,355.85167368104914,355.5309047502137,0.1996385854368392,0.526812404453608,93.91408114558473,100.0,1.9181944604187449,-5.742077059106716,11.119181142196682,0.0028437075049941,0.2,0.9725566766911292,578.2787938606219,7.771561172376096e-15,3.547162563677375e-14,2.4544436998087383e-14,2.4544420244188424e-14,1.6000000000000085,0.0004277777777777,heatup->feed->hold
3,baseline,B,4,summer,none,1.0,0.0015,1801,45.00028729954115,1.1049266470987833e-12,56.22728729954059,0.9999999999821954,294.26,355.8356816353113,355.50559076886856,0.16123345372218553,0.5101287794406005,94.6268656716418,100.0,1.9214784797617732,-5.757845108168042,11.105780420425594,0.0028485760366498,0.2,0.9703418744419768,2319.739907570371,2.1649348980190553e-15,3.5388358909926865e-14,2.2051994157761694e-14,2.2051411509287726e-14,1.6000000000000085,0.0004277777777777,heatup->feed->hold
4,baseline,A,5,summer,none,1.0,0.002,1801,45.00044001255032,1.2270390211255497e-12,56.227440012549415,0.9999999999821932,294.26,355.8517307014796,355.53090542903067,0.19922605140644212,0.5260460146949754,93.91044776119402,100.0,1.918182884333508,-5.739000642670087,11.113471689854885,0.002843690343543,0.2,0.9716118397386232,578.27879386062,8.43769498715119e-15,3.530509218307998e-14,2.45439121875701e-14,2.45439121875701e-14,1.6000000000000085,0.0004666666666666,heatup->feed->hold
5,baseline,B,1,winter,none,1.0,0.0,1801,45.00028729954114,1.0799530284412404e-12,56.2272872995406,0.999999999982196,277.26,355.8012763651508,355.5076242554135,0.1661471950127424,0.5463635700913783,93.53083434099153,100.0,1.9200254704275863,-5.710329378124176,11.130084947383631,0.002846421962267,0.2,0.9717562775962236,2319.7399075703797,2.4424906541753444e-15,3.441691376337985e-14,2.158383509009944e-14,2.158315547252948e-14,1.6000000000000085,0.0004277777777777,heatup->feed->hold
6,baseline,A,2,winter,none,1.0,0.0005,1801,45.00044001255032,8.698809099644245e-13,56.22744001254979,0.9999999999821996,277.26,355.8219394533159,355.5743839429302,0.22127715820691532,0.5558560504390185,92.3262839879154,100.0,1.9184981497931488,-5.799769128753364,11.13780516239511,0.0028441577219929,0.2,0.9730298415336216,578.2787938606539,1.0658141036401503e-14,3.5360603334311236e-14,0.0,0.0,1.6000000000000085,0.0004277777777777,heatup->feed->hold
7,baseline,B,3,winter,none,1.0,0.001,1801,45.00028729954114,1.0799203390550356e-12,56.22728729954061,0.999999999982196,277.26,355.80133145750074,355.5076253464745,0.16574238034488836,0.5429334562764093,93.58741681790683,100.0,1.9200190944940232,-5.707690285357823,11.124368614795328,0.0028464125099979,0.2,0.9708130471945404,2319.7399075703797,2.886579864025407e-15,3.4861002973229915e-14,2.1582525398394076e-14,2.1582525398394076e-14,1.6000000000000085,0.0004666666666666,heatup->feed->hold
8,baseline,A,4,winter,none,1.0,0.0015,1801,45.00044001255032,8.698859334579584e-13,56.22744001254978,0.9999999999821996,277.26,355.8219341999448,355.5662081844238,0.2195512738347454,0.5560304113499339,92.32164449818622,100.0,1.9184860179326897,-5.797052082227136,11.132080440163358,0.0028441397366096,0.2,0.9720839736700276,578.2787938606529,1.021405182655144e-14,3.597122599785507e-14,0.0,0.0,1.6000000000000085,0.0004277777777777,heatup->feed->hold
9,baseline,B,5,winter,none,1.0,0.002,1801,45.00028729954114,1.0799224775117413e-12,56.227287299540585,0.999999999982196,277.26,355.80132785344887,355.5076617367112,0.16583843229623768,0.5431358849636149,93.58353510895884,100.0,1.920013341406334,-5.705010135560137,11.118658489540133,0.0028464039810927,0.2,0.9698714820765152,2319.739907570375,2.6645352591003757e-15,3.502753642692369e-14,2.1582566616266697e-14,2.1582566616266697e-14,1.6000000000000085,0.0004666666666666,heatup->feed->hold
