regime_id,median_run_length_windows,mean_run_length_windows,max_run_length_windows
0,2.0,21.19269102990033,80
1,2.0,22.25581395348837,78
2,1.0,17.30672268907563,118
3,2.0,6.264578833693305,120
4,2.0,13.09504132231405,121
5,42.0,29.285714285714285,73
6,40.5,28.68877551020408,70
7,2.0,4.178635014836796,120
