K,silhouette,davies_bouldin,BIC,AIC,rank_silhouette,rank_db,rank_bic,combined_rank
4,0.17499324679374695,2.075263062422343,-137683.77213714694,-142674.05,4.0,5.0,5.0,10.25
5,0.14513786137104034,1.7621357545818874,-220186.7084804096,-226426.6,5.0,4.0,4.0,10.0
6,0.2911781966686249,1.5865084565820904,-269667.47294867225,-277156.97,1.0,3.0,3.0,4.75
7,0.24637451767921448,1.556603961775638,-427590.7999169349,-436329.9,3.0,1.0,2.0,4.5
8,0.2582336366176605,1.582058082967872,-464280.1268851976,-474268.84,2.0,2.0,1.0,4.25
